"Rank","Root Domain","Linking Root Domains","Domain 
"178","gizmodo.com","405,911","93"
"179","springer.com","468,504","93"
"180","surveymonkey.com","445,497","93"
"181","smh.com.au","311,742","93"
"182","weibo.com","1,430,400","93"
"183","hollywoodreporter.com","279,211","93"
"184","nginx.com","568,930","93"
"185","biglobe.ne.jp","236,629","93"
"186","lemonde.fr","265,359","93"
"187","cambridge.org","324,110","93"
"188","google.ca","340,765","93"
"189","dreamstime.com","367,599","93"
"190","ted.com","622,664","93"
"191","economist.com","377,602","93"
"192","prezi.com","319,186","93"
"193","ovh.com","493,716","93"
"194","imageshack.us","819,354","93"
"195","abcnews.go.com","572,065","93"
"196","offset.com","1,286,479","93"
"197","ea.com","196,801","93"
"198","ovh.net","557,186","93"
"199","bild.de","176,995","93"
"200","google.com.tw","143,451","93"
"201","ikea.com","349,687","93"
"202","qq.com","4,208,042","93"
"203","abc.net.au","405,336","93"
"204","ign.com","304,524","93"
"205","it.wikipedia.org","335,235","93"
"206","walmart.com","330,579","93"
"207","aol.com","700,754","93"
"208","doi.org","469,714","93"
"209","lycos.com","684,090","93"
"210","nypost.com","393,601","93"
"211","bandcamp.com","601,496","93"
"212","amazon.it","152,755","93"
"213","canada.ca","252,058","93"
"214","newsweek.com","361,415","93"
"215","quora.com","410,084","93"
"216","e-recht24.de","468,407","93"
"217","yandex.ru","1,001,566","93"
"218","engadget.com","445,866","93"
"219","thenai.org","503,802","93"
"220","berkeley.edu","480,030","93"
"221","yadi.sk","180,849","93"
"222","metro.co.uk","255,373","93"
"223","mozilla.com","204,491","93"
"224","mashable.com","431,299","93"
"225","sciencedirect.com","597,302","93"
"226","indiatimes.com","448,491","93"
"227","m.wikipedia.org","307,452","93"
"228","groups.google.com","347,531","93"
"229","calendar.google.com","180,238","93"
"230","mit.edu","685,525","93"
"231","bloglovin.com","511,817","93"
"232","repubblica.it","200,607","93"
"233","academia.edu","372,439","93"
"234","outlook.com","318,626","93"
"235","photobucket.com","1,738,369","93"
"236","www.over-blog.com","818,711","93"
"237","clarin.com","142,515","93"
"238","news.com.au","309,081","93"
"239","spiegel.de","352,695","93"
"240","cbc.ca","472,904","93"
"241","disqus.com","928,083","93"
"242","bitly.com","431,095","93"
"243","urbandictionary.com","257,105","93"
"244","liberation.fr","125,626","93"
"245","pbs.org","532,682","93"
"246","php.net","652,063","93"
"247","sciencemag.org","326,514","93"
"248","soundcloud.com","1,800,584","93"
"249","timeweb.ru","544,411","93"
"250","sciencedaily.com","356,279","93"
"251","akamaihd.net","560,112","93"
"252","spotify.com","1,434,655","93"
"253","wiley.com","590,057","93"
"254","interia.pl","155,044","93"
"255","insider.com","309,345","93"
"256","storage.googleapis.com","757,783","93"
"257","whitehouse.gov","388,338","93"
"258","shopify.com","2,121,382","93"
"259","netflix.com","339,817","93"
"260","canva.com","241,571","93"
"261","cornell.edu","445,329","93"
"262","discord.gg","289,142","93"
